Job Titles,Company Names,Experience Required,Package,Locations,Skills,Role Type,Primary Location,Exp Min,Exp Max,Exp Category,Salary Disclosed
Senior Software Engineer (Dotnet Developer),Tata Consultancy Services (TCS),4-8 Yrs,Not disclosed,"Gurgaon/ Gurugram, Haryana",Manager Quality AssuranceBusiness AnalystBusiness analysisTechnical writingDatabaseProduct testingPredictive analyticsAnalytics,Other,Gurgaon/ Gurgaon,4,8,Mid Level (3-5 Yrs),Not Disclosed
Analytics Engineering Manager,Deliveroo,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Communication SkillsExcelSecondary ResearchHooversMs OfficeProblem SolvingFactivaMarket Research,Data Analytics,Kolkata,3,8,Mid Level (3-5 Yrs),Not Disclosed
ML Engineer- Azure,Xenonstack,3-8 Yrs,Not disclosed,"Mumbai, Hyderabad, Delhi, Pune, Chennai, Bengaluru",CooWealth managementMISAnalyticalDiversity and InclusionReconciliationFinancial planningBusiness management,Other,Mumbai,3,8,Mid Level (3-5 Yrs),Not Disclosed
ML Engineer- AWS,Xenonstack,1-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",PayrollSAP ERPBusiness AnalystScript writingHadoopDatabaseInformaticaJIRA,Other,Kolkata,1,5,Junior (1-2 Yrs),Not Disclosed
GIS & Photogrammetry Engineer,Enercomp,9-11 Yrs,15-30 Lacs PA,Bangalore/Bengaluru,AdministrationBusiness AnalystTest scenariosManagementSalesforceTestingBusiness analysisSoftware testing,Other,Bangalore,9,11,Senior (6-10 Yrs),Disclosed
IoT Engineer,Reconnect Energy Solutions,8-12 Yrs,15-30 Lacs PA,Hyderabad/Secunderabad,RetailBusiness AnalystBusiness requirement analysisRisk assessmentRetail bankingManager TechnologyQA testingTest cases,Other,Hyderabad,8,12,Senior (6-10 Yrs),Disclosed
Data Analyst,Peroptyx,2-6 Yrs,Unpaid,Bangalore/Bengaluru,Business servicesAdministrationBusiness researchBfsiEquity researchSenior Analystprofessional servicesBusiness solutions,Data Analytics,Bangalore,2,6,Junior (1-2 Yrs),Disclosed
Business Analyst,Weir,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,Computer scienceSupply chain managementVisual BasicBusiness AnalystFunctional testingAnalyticalProgrammingOperations,Data Analytics,Bangalore,3,6,Mid Level (3-5 Yrs),Not Disclosed
Business Analyst - Moodys Credit RIsk,Luxoft,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,BPOBusiness processBusiness servicesData managementHTMLData qualityMS OfficeContinuous improvement,Data Analytics,Bangalore,5,8,Mid Level (3-5 Yrs),Not Disclosed
Program MIS Analyst,Selco Foundation,5-8 Yrs,Not disclosed,Hyderabad/Secunderabad,Business reportingEDCBusiness analyticsAnalyticalData qualityBusiness strategyFinancial servicesSQL,Data Analytics,Hyderabad,5,8,Mid Level (3-5 Yrs),Not Disclosed
Technical Business Analyst,Quench Techno Valley,5-7 Yrs,30-45 Lacs PA,Remote,Project developmentDOMPDFProject estimationBusiness AnalystCompetitive analysisConsultingFounder Director,Data Analytics,Remote,5,7,Mid Level (3-5 Yrs),Disclosed
Business Analyst (Bhopal),Pixelvide Design Solutions,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,apache camelNetworkingEnterprise integrationBusiness AnalystArchitectureCloudSpringMiddleware,Data Analytics,Bangalore,3,6,Mid Level (3-5 Yrs),Not Disclosed
Business Analyst,Webengage,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,ProcurementOrder managementBackendManager Quality AssuranceProject managementHTMLMS OfficeForecasting,Data Analytics,Bangalore,3,5,Mid Level (3-5 Yrs),Not Disclosed
Business Analyst,Pixelvide Design Solutions,1-3 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru",AutomationCorporate actionsEquity researchIntellectual propertyIssue resolutionMS OfficeAnalyticsMonitoring,Data Analytics,Mumbai,1,3,Junior (1-2 Yrs),Not Disclosed
"Opening For Business Analyst - Finacle Payments, Cash, Deposits, Loan",Societe Generale,10-12 Yrs,Not disclosed,"Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka",Junior StaffBusiness AnalystProject managementLeadership trainingProductionManagementUser acceptance testingCost,Data Analytics,Pune,10,12,Senior (6-10 Yrs),Not Disclosed
Manager - Business Analyst,Firstsource Laboratory Solutions,2-7 Yrs,Not disclosed,"Hybrid - Chennai, Bangalore/Bengaluru",Planning AnalystDemand planningWorkforce managementMobile phonesWorkforce planningHTMLCustomer experienceOperations,Data Analytics,Hybrid - Chennai,2,7,Junior (1-2 Yrs),Not Disclosed
